Timestamp,Pedestrian_ID,Walking_Speed_mps,Direction_Degrees,Density_people_per_m2,Behavior,Age_Group,Peak_OffPeak,Vehicle_ID,Vehicle_Type,Vehicle_Speed_kmph,Vehicle_Acceleration_mps2,Near_Miss,Traffic_Violation,Weather,Temperature_C,Wind_Speed_mps,Visibility_m,Lighting_Condition,Road_Surface,Obstacle_Present,Traffic_Signal_Phase,Pedestrian_Signal,Signal_Duration_s,Response_to_Pedestrian,Vehicle_Count_per_min,Pedestrian_Count_per_min,Congestion_Level,Event_Type,Accident_Occurred,Accident_Severity
2024-04-25 23:51:54,8985,0.91,281,0.26,Group Crossing,Elderly,Peak,6154,Bus,63.85,-0.13,0,Red Light Violation,Snow,13.2,4.86,936.25,Low-light,Dry,1,Yellow,Don't Walk,20,0,42,20,Low,Emergency Vehicle,1,Minor
2024-07-15 11:27:34,1248,1.24,221,0.9,Jaywalking,Adult,Peak,5507,Bicycle,54.94,2.92,0,Red Light Violation,Fog,23.6,0.27,261.03,Daytime,Wet,0,Red,Walk,70,0,35,17,Low,Emergency Vehicle,0,Fatal
2024-07-22 12:49:02,9318,1.62,167,1.75,Group Crossing,Elderly,Off-Peak,5295,Car,16.2,1.84,1,Red Light Violation,Clear,18.6,6.49,395.08,Daytime,Dry,1,Green,Walk,76,0,7,1,Low,Normal,0,None
2024-03-14 14:47:15,9219,1.75,61,2.17,Normal,Child,Off-Peak,8404,Car,69.57,0.28,1,None,Snow,6.1,8.97,680.51,Daytime,Wet,1,Green,Don't Walk,89,0,13,3,Medium,Emergency Vehicle,0,None
2024-06-20 02:56:17,2078,1.35,135,2.25,Jaywalking,Child,Peak,6738,Bus,13.5,-0.48,0,Failed to Yield,Snow,17.9,3.91,457.7,Nighttime,Snow-covered,1,Yellow,Don't Walk,33,1,7,17,Medium,Child Running,0,Major
2024-08-04 17:37:22,2568,1.94,52,1.69,Jaywalking,Child,Peak,6337,Motorcycle,30.46,-1.81,0,None,Clear,0.6,9.8,159.39,Nighttime,Wet,0,Red,Don't Walk,21,1,7,13,High,Emergency Vehicle,0,Major
2024-11-27 03:49:44,1750,1.34,156,0.76,Group Crossing,Elderly,Off-Peak,6393,Motorcycle,76.39,-1.35,0,Failed to Yield,Clear,21.7,9.03,612.69,Nighttime,Wet,1,Yellow,Don't Walk,21,1,32,14,High,Child Running,0,None
2024-09-08 11:43:45,8307,0.87,225,0.59,Normal,Child,Peak,5520,Car,17.87,-0.05,1,Red Light Violation,Fog,7.6,5.86,774.79,Low-light,Wet,0,Green,Walk,65,1,38,20,High,Child Running,1,Major
2024-11-18 13:28:00,8371,0.71,86,0.52,Jaywalking,Elderly,Off-Peak,7379,Bus,21.13,1.99,0,Failed to Yield,Clear,15.1,1.07,52.76,Low-light,Snow-covered,0,Green,Don't Walk,75,1,15,15,High,Emergency Vehicle,1,None
2024-08-16 19:36:34,2017,1.83,283,2.33,Group Crossing,Elderly,Peak,5291,Bus,56.99,-0.56,1,Failed to Yield,Snow,28.3,5.11,620.78,Low-light,Dry,0,Green,Walk,25,0,22,1,Low,Child Running,0,Minor
2024-02-18 20:48:01,8004,1.39,31,1.88,Normal,Child,Peak,8203,Motorcycle,53.53,-0.19,1,Red Light Violation,Snow,22.5,0.68,151.17,Low-light,Dry,0,Green,Don't Walk,59,0,36,11,High,Emergency Vehicle,0,Major
2024-10-22 20:07:10,4243,1.44,58,2.05,Jaywalking,Adult,Off-Peak,9464,Car,53.04,2.9,1,Failed to Yield,Rain,13.9,0.93,70.18,Low-light,Wet,1,Red,Walk,70,1,46,11,Medium,Normal,1,Minor
2024-02-01 19:47:43,9996,1.65,343,0.3,Normal,Adult,Off-Peak,6694,Bicycle,58.99,-0.96,0,Failed to Yield,Clear,-0.8,6.93,902.14,Low-light,Snow-covered,1,Red,Don't Walk,87,1,10,19,Medium,Normal,1,Major
2024-09-09 12:37:30,7312,0.51,124,0.54,Waiting,Elderly,Peak,7323,Truck,77.19,0.55,1,None,Rain,16.2,8.14,698.21,Nighttime,Wet,1,Yellow,Walk,11,1,47,15,Medium,Child Running,1,Minor
2024-04-19 20:06:26,9418,1.87,24,2.45,Waiting,Elderly,Off-Peak,9315,Car,61.25,-0.69,0,None,Snow,10.6,8.68,722.47,Daytime,Wet,1,Yellow,Walk,58,0,8,3,Low,Child Running,1,Fatal
2024-09-30 09:35:44,5389,0.97,206,0.43,Group Crossing,Elderly,Off-Peak,5146,Bicycle,79.33,-0.91,1,Failed to Yield,Snow,8.4,6.92,886.94,Daytime,Snow-covered,1,Red,Walk,41,1,7,8,Low,Emergency Vehicle,1,Major
2024-05-25 23:39:15,8289,1.8,48,0.34,Normal,Elderly,Off-Peak,6040,Car,22.13,2.31,1,Failed to Yield,Fog,4.1,5.22,370.13,Low-light,Snow-covered,1,Yellow,Walk,73,1,6,4,Low,Normal,1,None
2024-11-23 12:38:44,8754,1.07,125,1.62,Waiting,Adult,Peak,7055,Car,51.11,2.24,1,Red Light Violation,Fog,22.1,0.16,348.28,Nighttime,Wet,1,Yellow,Don't Walk,50,0,28,17,Low,Child Running,0,Fatal
2024-01-13 04:57:09,9460,0.74,57,1.45,Waiting,Elderly,Peak,5079,Bus,29.59,1.94,1,Failed to Yield,Clear,33.9,7.86,127.79,Nighttime,Snow-covered,0,Green,Don't Walk,42,0,18,5,Medium,Emergency Vehicle,1,Minor
2024-06-18 09:39:32,1490,1.91,251,0.52,Normal,Elderly,Peak,6961,Bicycle,33.7,0.62,0,None,Clear,14.2,5.33,398.73,Nighttime,Dry,0,Red,Walk,55,0,9,19,Medium,Emergency Vehicle,1,Minor
2024-04-09 17:16:33,2052,1.98,229,0.95,Jaywalking,Elderly,Off-Peak,8462,Motorcycle,52.52,1.04,0,Failed to Yield,Snow,18.0,6.12,933.11,Daytime,Wet,0,Yellow,Walk,61,1,34,19,Low,Child Running,0,Minor
2024-08-11 05:49:27,9422,1.4,131,1.11,Normal,Child,Peak,9005,Bus,64.99,-1.88,0,None,Snow,0.7,3.57,678.26,Nighttime,Wet,0,Green,Walk,66,1,14,11,Low,Emergency Vehicle,1,None
2024-10-28 15:57:18,1083,1.1,318,0.12,Normal,Elderly,Off-Peak,8458,Car,47.08,0.75,1,Red Light Violation,Clear,26.3,9.77,59.6,Daytime,Snow-covered,0,Red,Don't Walk,12,0,16,12,Low,Emergency Vehicle,0,None
2024-06-21 14:58:44,8677,0.52,198,2.49,Group Crossing,Adult,Peak,6962,Bicycle,39.05,-0.28,1,Failed to Yield,Fog,17.3,4.52,987.27,Low-light,Dry,0,Yellow,Walk,84,1,41,1,High,Emergency Vehicle,1,Fatal
2024-08-14 18:24:08,1773,1.73,25,0.69,Jaywalking,Child,Peak,8040,Car,15.13,-0.07,0,Red Light Violation,Clear,4.9,2.55,389.49,Low-light,Dry,0,Red,Walk,44,1,40,20,High,Emergency Vehicle,1,None
2024-11-17 05:03:16,8799,1.93,187,1.57,Normal,Child,Peak,5231,Bicycle,24.87,0.66,1,Failed to Yield,Clear,13.5,5.07,278.93,Nighttime,Snow-covered,0,Green,Walk,80,1,29,10,Low,Emergency Vehicle,1,Major
2024-05-08 10:13:27,7582,0.99,70,1.73,Group Crossing,Child,Peak,8646,Bicycle,22.32,-1.2,0,Red Light Violation,Fog,-0.4,1.29,665.3,Low-light,Dry,1,Yellow,Don't Walk,53,1,31,12,Low,Normal,1,Major
2024-09-14 12:52:45,8829,1.3,69,1.59,Jaywalking,Elderly,Off-Peak,5235,Bicycle,65.81,-1.55,1,Failed to Yield,Snow,30.7,5.79,990.56,Nighttime,Wet,0,Yellow,Don't Walk,61,0,36,13,High,Child Running,1,Major
2024-03-10 17:06:51,2745,1.59,226,0.73,Group Crossing,Elderly,Peak,7711,Car,49.14,-1.84,1,Red Light Violation,Rain,0.5,8.06,361.78,Nighttime,Snow-covered,1,Red,Walk,35,1,17,11,Low,Child Running,0,Fatal
2024-01-29 15:53:16,2873,0.74,352,2.42,Jaywalking,Adult,Peak,5010,Bicycle,59.55,2.12,1,None,Fog,14.8,5.98,365.76,Nighttime,Wet,1,Green,Don't Walk,74,0,9,14,High,Child Running,0,Minor
2024-07-08 11:20:26,7060,1.32,171,2.01,Normal,Elderly,Peak,6032,Bus,63.99,-0.01,1,None,Snow,19.7,2.4,66.56,Low-light,Snow-covered,0,Green,Walk,31,1,28,2,Low,Emergency Vehicle,0,None
2024-10-19 22:00:33,9539,0.68,331,1.51,Jaywalking,Elderly,Off-Peak,8021,Bus,19.91,-0.02,0,Red Light Violation,Clear,1.7,4.6,436.9,Nighttime,Dry,1,Yellow,Walk,60,0,34,14,Medium,Emergency Vehicle,0,Fatal
2024-03-16 23:46:33,5593,1.28,85,0.39,Jaywalking,Adult,Peak,6872,Car,11.65,-0.35,0,None,Rain,22.6,1.56,779.64,Daytime,Dry,0,Green,Don't Walk,59,1,27,15,Medium,Normal,1,Fatal
2024-05-22 23:15:31,5089,1.85,65,0.71,Jaywalking,Adult,Off-Peak,7694,Car,69.75,0.23,1,Failed to Yield,Fog,4.0,9.08,80.85,Daytime,Snow-covered,0,Green,Don't Walk,54,0,37,1,Low,Emergency Vehicle,1,None
2024-08-27 14:56:08,6424,0.54,230,2.08,Jaywalking,Child,Peak,8838,Motorcycle,10.16,0.23,1,Failed to Yield,Snow,8.2,7.26,426.42,Daytime,Dry,1,Red,Walk,39,1,17,4,High,Child Running,0,Minor
2024-11-23 17:00:43,8478,0.72,146,0.78,Jaywalking,Child,Off-Peak,5263,Bus,74.24,1.32,0,None,Snow,-4.3,7.93,692.65,Nighttime,Wet,0,Yellow,Don't Walk,56,1,10,15,Low,Emergency Vehicle,1,Minor
2024-12-06 06:23:29,5070,1.21,129,0.89,Waiting,Elderly,Off-Peak,7696,Truck,79.35,0.79,0,None,Rain,15.3,5.99,696.44,Low-light,Wet,0,Green,Don't Walk,82,0,46,18,Low,Emergency Vehicle,1,None
2024-05-21 22:30:56,9890,1.69,342,1.08,Group Crossing,Adult,Peak,5337,Truck,60.73,-1.56,0,Red Light Violation,Rain,31.7,1.96,873.17,Daytime,Snow-covered,0,Red,Walk,59,1,18,19,Low,Child Running,0,Fatal
2024-01-27 16:44:45,1598,0.84,318,2.11,Group Crossing,Adult,Off-Peak,8522,Car,55.3,0.38,1,Failed to Yield,Rain,0.4,2.13,383.27,Daytime,Snow-covered,1,Red,Walk,17,1,24,3,High,Normal,1,Major
2024-07-18 06:51:49,8597,1.51,153,1.39,Normal,Adult,Peak,9048,Bicycle,69.75,2.88,0,None,Snow,26.8,1.64,612.31,Nighttime,Wet,1,Green,Walk,23,1,42,11,Medium,Emergency Vehicle,0,Fatal
2024-09-03 01:26:01,9049,0.82,203,2.33,Normal,Child,Off-Peak,6052,Bicycle,49.59,1.51,1,None,Snow,28.0,5.36,947.56,Low-light,Dry,1,Green,Walk,78,1,10,8,Medium,Normal,0,Minor
2024-02-13 05:17:05,6492,1.78,198,1.57,Jaywalking,Child,Off-Peak,5764,Motorcycle,12.05,-0.48,1,None,Snow,13.7,8.8,374.59,Daytime,Dry,0,Green,Walk,33,1,31,16,Low,Child Running,1,None
2024-07-31 12:23:12,8701,0.62,116,1.58,Normal,Child,Off-Peak,7411,Bicycle,44.44,-1.39,0,None,Clear,6.9,8.37,530.64,Low-light,Snow-covered,0,Yellow,Don't Walk,56,0,42,12,Low,Normal,0,Major
2024-06-01 18:26:57,8921,1.16,50,1.55,Group Crossing,Adult,Peak,8457,Truck,70.57,-0.56,1,Failed to Yield,Fog,0.3,6.49,317.53,Low-light,Snow-covered,0,Yellow,Don't Walk,78,0,5,9,High,Emergency Vehicle,1,Major
2024-05-12 13:20:09,2029,1.95,153,2.23,Normal,Adult,Off-Peak,5675,Car,48.84,-0.41,0,Failed to Yield,Fog,4.1,8.89,515.96,Daytime,Dry,0,Red,Walk,80,0,15,8,High,Emergency Vehicle,1,Major
2024-05-15 18:45:05,7590,1.03,58,2.1,Normal,Elderly,Off-Peak,7257,Bicycle,69.29,-0.79,0,None,Fog,4.4,6.47,754.62,Daytime,Wet,0,Red,Walk,84,0,14,20,Medium,Normal,1,Major
2024-12-04 08:17:53,1875,0.76,156,0.83,Normal,Elderly,Off-Peak,7233,Bus,69.48,-0.83,1,Red Light Violation,Rain,20.6,5.02,812.0,Low-light,Wet,1,Yellow,Don't Walk,87,0,47,1,Low,Child Running,1,None
2024-08-17 17:25:16,6650,1.62,332,0.75,Normal,Adult,Off-Peak,8611,Truck,38.08,2.97,1,Failed to Yield,Snow,7.5,0.62,817.98,Low-light,Wet,1,Red,Don't Walk,48,1,17,9,High,Normal,1,Fatal
2024-12-24 06:29:17,2935,1.79,221,1.01,Normal,Child,Off-Peak,7381,Car,45.68,2.27,1,None,Rain,0.9,6.31,808.73,Nighttime,Wet,1,Red,Walk,41,0,39,6,High,Child Running,0,Minor
2024-09-10 06:10:13,2606,1.19,27,0.48,Group Crossing,Child,Off-Peak,6383,Bus,12.81,2.34,0,Failed to Yield,Snow,10.9,5.41,890.19,Nighttime,Wet,0,Red,Walk,25,1,15,11,High,Normal,1,Minor
2024-03-25 02:33:51,9227,1.44,153,1.68,Waiting,Elderly,Off-Peak,9004,Motorcycle,55.25,2.83,0,Red Light Violation,Fog,29.5,9.8,650.82,Nighttime,Snow-covered,1,Red,Walk,41,1,32,20,Medium,Child Running,0,Major
2024-12-14 23:14:12,9590,1.58,95,0.27,Jaywalking,Child,Peak,6733,Bicycle,76.53,0.4,0,None,Snow,18.7,0.5,999.05,Low-light,Snow-covered,1,Red,Don't Walk,25,1,29,20,Medium,Emergency Vehicle,1,Fatal
2024-04-10 10:53:05,6822,1.09,341,1.2,Jaywalking,Elderly,Off-Peak,8002,Truck,13.06,1.46,0,Red Light Violation,Snow,8.9,7.82,360.37,Nighttime,Dry,0,Yellow,Don't Walk,49,1,9,4,Low,Child Running,0,Fatal
2024-09-16 01:36:09,8194,1.13,296,0.24,Normal,Adult,Peak,7428,Truck,77.29,1.25,1,None,Fog,24.5,6.97,85.64,Low-light,Wet,1,Red,Walk,32,1,46,18,Medium,Child Running,1,Major
2024-04-08 22:36:23,1512,1.8,140,1.2,Jaywalking,Elderly,Off-Peak,8115,Bus,28.29,-0.31,1,None,Fog,14.2,9.38,821.69,Low-light,Wet,0,Green,Walk,66,1,13,5,High,Child Running,0,Major
2024-11-12 03:39:57,6849,0.52,160,0.7,Normal,Elderly,Off-Peak,5643,Truck,13.96,-0.49,1,Red Light Violation,Rain,19.6,4.43,906.39,Nighttime,Wet,0,Yellow,Don't Walk,50,1,23,16,High,Child Running,1,Major
2024-07-20 11:01:16,7010,1.07,309,0.14,Normal,Child,Peak,5416,Truck,23.26,0.97,1,Red Light Violation,Clear,4.6,4.99,664.76,Daytime,Snow-covered,0,Red,Walk,28,1,30,2,Low,Normal,1,Major
2024-07-21 23:54:37,2378,1.87,209,1.85,Normal,Elderly,Off-Peak,7713,Truck,56.0,0.98,0,None,Rain,21.5,6.44,656.72,Low-light,Wet,1,Green,Don't Walk,31,0,47,6,Medium,Emergency Vehicle,0,Major
2024-08-20 21:37:05,9763,0.63,334,2.42,Group Crossing,Elderly,Peak,7276,Bus,68.99,0.99,0,Red Light Violation,Rain,16.5,9.48,457.64,Daytime,Wet,1,Yellow,Don't Walk,15,0,22,19,High,Normal,1,Minor
2024-01-26 03:03:27,5731,1.17,44,2.27,Normal,Elderly,Off-Peak,6220,Bicycle,22.79,-1.68,1,None,Snow,30.9,9.51,869.13,Low-light,Wet,0,Yellow,Don't Walk,68,1,17,7,Low,Emergency Vehicle,0,Fatal
2024-07-05 02:53:14,1329,2.0,103,1.62,Normal,Adult,Off-Peak,9436,Truck,12.88,0.42,1,None,Clear,26.2,2.45,534.01,Low-light,Wet,1,Red,Walk,54,0,17,19,Medium,Normal,1,None
2024-09-14 00:25:26,4804,1.3,171,0.54,Normal,Elderly,Off-Peak,7396,Motorcycle,35.88,2.59,0,Failed to Yield,Fog,17.4,2.1,395.08,Daytime,Dry,0,Green,Walk,37,1,46,7,Medium,Normal,1,None
2024-11-04 12:32:18,8151,1.08,36,1.14,Waiting,Child,Off-Peak,6744,Bus,32.41,1.32,1,None,Clear,26.2,9.01,568.9,Low-light,Dry,1,Green,Don't Walk,33,0,18,11,High,Emergency Vehicle,1,None
2024-05-10 21:12:23,8081,1.05,109,0.33,Normal,Adult,Peak,6931,Bicycle,31.82,1.43,1,Red Light Violation,Snow,22.0,4.24,865.5,Low-light,Dry,1,Yellow,Don't Walk,76,1,41,10,Low,Emergency Vehicle,0,Minor
2024-06-26 18:36:18,3807,1.65,227,0.95,Waiting,Child,Off-Peak,8871,Truck,14.48,-1.46,1,Failed to Yield,Rain,34.0,2.64,570.77,Nighttime,Snow-covered,1,Red,Don't Walk,69,1,42,7,Medium,Emergency Vehicle,0,Major
2024-05-04 11:15:01,6552,1.87,329,2.25,Normal,Child,Peak,9754,Bus,25.58,1.61,0,None,Fog,32.3,5.75,994.47,Daytime,Snow-covered,1,Yellow,Don't Walk,10,1,35,19,Medium,Emergency Vehicle,1,Minor
2024-04-23 00:40:30,6554,0.83,50,1.35,Group Crossing,Child,Off-Peak,9125,Bicycle,16.24,-1.08,0,Red Light Violation,Clear,4.2,7.44,821.22,Nighttime,Dry,1,Green,Don't Walk,69,0,30,16,Medium,Normal,0,None
2024-01-31 01:42:08,4287,1.37,108,1.19,Waiting,Adult,Off-Peak,6929,Bus,39.24,2.7,0,Red Light Violation,Clear,-4.5,1.8,678.55,Nighttime,Snow-covered,1,Yellow,Don't Walk,56,0,8,7,High,Child Running,0,Minor
2024-12-31 13:25:07,7612,1.72,187,0.71,Normal,Adult,Off-Peak,7733,Car,41.62,0.63,1,Red Light Violation,Snow,31.9,7.31,665.49,Nighttime,Snow-covered,0,Green,Walk,12,1,31,2,Medium,Child Running,1,None
2024-08-26 03:02:09,5490,1.84,90,0.45,Jaywalking,Elderly,Peak,6211,Car,14.78,-1.95,1,Red Light Violation,Clear,19.3,8.45,778.33,Low-light,Snow-covered,0,Red,Walk,13,0,31,14,Medium,Normal,0,Minor
2024-02-03 07:21:13,2852,0.8,166,2.27,Jaywalking,Adult,Off-Peak,5674,Motorcycle,70.49,-1.25,0,Failed to Yield,Snow,34.5,2.94,564.99,Daytime,Snow-covered,1,Green,Don't Walk,11,1,38,14,Low,Emergency Vehicle,1,None
2024-04-24 00:34:21,7288,0.61,282,0.24,Normal,Elderly,Peak,9100,Bus,77.99,1.15,1,Red Light Violation,Clear,13.7,8.08,320.31,Low-light,Snow-covered,1,Yellow,Don't Walk,21,1,44,6,Low,Child Running,0,Minor
2024-10-08 14:50:39,9878,0.74,304,1.21,Normal,Elderly,Off-Peak,9131,Bicycle,33.62,1.11,1,Red Light Violation,Clear,14.4,1.83,577.7,Nighttime,Dry,0,Yellow,Don't Walk,40,0,35,4,High,Child Running,0,Minor
2024-04-27 10:11:50,9536,1.44,127,0.76,Group Crossing,Child,Off-Peak,8228,Truck,75.37,0.49,0,Failed to Yield,Clear,6.2,7.41,759.27,Low-light,Wet,0,Yellow,Walk,51,0,24,14,High,Emergency Vehicle,1,Major
2024-08-11 01:51:24,3889,0.81,329,0.44,Jaywalking,Elderly,Peak,6380,Motorcycle,37.53,2.46,1,None,Clear,-4.9,0.3,478.14,Nighttime,Wet,1,Yellow,Don't Walk,29,0,15,15,Medium,Normal,0,None
2024-01-10 18:04:25,5514,1.69,34,1.78,Waiting,Child,Off-Peak,6970,Bus,66.66,0.96,1,Red Light Violation,Clear,28.7,6.18,61.86,Low-light,Wet,0,Red,Don't Walk,16,1,38,3,Low,Child Running,0,Minor
2024-02-03 00:46:29,7411,0.57,140,0.21,Group Crossing,Elderly,Peak,5057,Truck,26.95,2.38,1,Failed to Yield,Clear,6.3,2.01,922.59,Low-light,Wet,0,Yellow,Don't Walk,73,1,24,7,High,Emergency Vehicle,1,Minor
2024-04-10 10:11:05,8305,1.17,333,2.27,Jaywalking,Adult,Peak,9889,Car,74.31,2.74,1,Red Light Violation,Fog,33.4,8.33,862.69,Low-light,Dry,0,Red,Don't Walk,72,1,22,3,Medium,Child Running,1,Major
2024-12-27 23:54:17,1785,0.92,172,2.25,Waiting,Child,Off-Peak,6079,Car,10.32,-1.18,1,Failed to Yield,Clear,5.2,0.76,754.74,Nighttime,Dry,1,Red,Walk,85,0,31,1,Medium,Normal,1,Fatal
2024-11-15 19:19:44,6600,1.06,11,1.97,Normal,Adult,Peak,9004,Truck,49.29,-0.59,0,Red Light Violation,Snow,33.8,7.04,927.33,Daytime,Dry,0,Yellow,Walk,85,0,43,6,High,Emergency Vehicle,0,None
2024-02-05 03:42:22,2770,1.34,111,2.03,Normal,Adult,Off-Peak,7332,Bus,42.27,2.08,0,Failed to Yield,Snow,8.7,4.44,972.19,Nighttime,Dry,1,Red,Don't Walk,39,0,19,2,Low,Normal,1,Major
2024-06-11 14:47:30,3792,2.0,96,0.88,Normal,Elderly,Peak,9737,Motorcycle,37.13,2.71,0,Failed to Yield,Rain,1.3,3.9,319.51,Nighttime,Snow-covered,1,Green,Don't Walk,29,0,44,17,High,Child Running,0,None
2024-08-29 14:24:09,2920,0.82,355,1.22,Normal,Adult,Peak,6386,Truck,23.2,0.98,1,None,Snow,-2.4,0.41,560.56,Low-light,Dry,1,Yellow,Don't Walk,73,0,29,3,High,Emergency Vehicle,1,Minor
2024-09-20 13:46:15,2769,1.73,259,0.95,Waiting,Child,Off-Peak,7336,Bicycle,28.89,-0.66,0,None,Rain,6.5,8.76,220.91,Daytime,Dry,0,Red,Don't Walk,89,1,5,5,Low,Child Running,1,Minor
2024-09-07 08:36:45,7885,0.93,233,0.47,Normal,Adult,Off-Peak,9290,Truck,16.07,2.49,0,Red Light Violation,Clear,22.6,3.97,709.3,Low-light,Wet,0,Green,Walk,48,0,43,5,Medium,Emergency Vehicle,0,Minor
2024-09-28 22:19:30,4841,1.35,301,1.69,Normal,Child,Off-Peak,9356,Bicycle,60.98,-1.31,0,Failed to Yield,Clear,1.7,6.91,586.92,Daytime,Snow-covered,0,Green,Walk,70,0,38,5,Medium,Emergency Vehicle,1,None
2024-01-10 09:31:13,8008,1.29,266,1.75,Waiting,Elderly,Peak,5149,Motorcycle,76.23,1.82,0,None,Snow,32.9,5.16,295.55,Low-light,Snow-covered,0,Green,Walk,85,1,36,15,High,Child Running,0,Fatal
2024-05-31 22:15:02,3793,1.44,331,2.27,Group Crossing,Child,Off-Peak,8767,Bicycle,54.38,0.14,1,Failed to Yield,Clear,18.7,0.53,301.33,Low-light,Wet,1,Green,Walk,16,1,5,3,Low,Normal,1,Major
