User_ID,Age,Gender,Occupation,Preference,Preferred_Pickup_Time,Preferred_Dropoff_Time,Carpool_Willingness,Preferred_Route,Vehicle_Type,Historical_Ride_Patterns,Travel_Frequency,Cancellation_Rate,Traffic_Conditions,POI,Distance_Matrix,Optimal_Routes,Past_Rides,Real_Time_Request,Vehicle_Availability,Real_Time_Traffic,Historical_Traffic,Weather_Condition,Event,Fuel_Price,Ride_Match_Success,User_Satisfaction,Dynamic_Pricing,Wait_Times,Incident_Reports,Congestion_Hotspots
25,32,Male,Business Man,Conversation,2024-01-18 00:05,2024-01-01 17:17,Yes,Route 19,Electric,110,Occasionally,0.05,Moderate,POI 6,17.73,Optimal Route 9,30,No,Busy,Smooth,Medium,Snowy,Sports Event,1170.89,1.0,4.9,47.29,7,3,Hotspot 14
26,44,Male,Private Employee,Smoking,2024-03-06 11:03,2024-02-27 05:44,Yes,Route 15,Electric,132,Weekly,0.08,Moderate,POI 29,27.82,Optimal Route 6,463,Yes,Available,Smooth,Low,Sunny,None,1360.03,1.0,2.1,23.97,15,0,Hotspot 16
27,50,Female,Business Man,Silent,2024-02-08 05:13,2024-01-30 22:58,Yes,Route 12,Motorbike,126,Occasionally,0.5,Moderate,POI 7,41.72,Optimal Route 6,22,No,Busy,Congested,Low,Rainy,Sports Event,1318.59,0.52,2.2,29.47,15,5,Hotspot 6
28,35,Male,Business Man,Conversation,2024-01-30 07:40,2024-02-13 21:36,No,Route 16,Motorbike,120,Occasionally,0.09,Light,POI 36,34.83,Optimal Route 4,113,No,Available,Congested,Medium,Rainy,Concert,1210.32,0.91,4.0,35.08,4,3,Hotspot 9
29,40,Female,Doctor,Non-Smoking,2024-03-07 16:52,2024-01-21 12:01,No,Route 10,Motorbike,145,Weekly,0.45,Moderate,POI 35,4.02,Optimal Route 9,397,No,Busy,Moderate,Low,Snowy,Sports Event,1100.73,0.83,1.9,47.27,2,0,Hotspot 9
30,19,Female,Driver,Conversation,2024-01-14 12:44,2024-02-22 07:23,No,Route 8,Sedan,148,Weekly,0.09,Light,POI 1,3.65,Optimal Route 4,409,No,Available,Congested,Medium,Cloudy,Concert,1014.25,0.76,3.9,5.37,9,0,Hotspot 11
31,41,Male,Vlogger,Silent,2024-03-11 15:42,2024-03-25 03:33,Yes,Route 20,SUV,54,Weekly,0.39,Heavy,POI 42,17.88,Optimal Route 1,336,Yes,Available,Moderate,Low,Rainy,Sports Event,1363.41,0.82,1.6,12.75,10,2,Hotspot 11
32,31,Male,Vlogger,Smoking,2024-02-22 02:12,2024-01-21 05:59,Yes,Route 13,Motorbike,80,Weekly,0.29,Heavy,POI 36,20.39,Optimal Route 4,265,No,Busy,Moderate,Medium,Snowy,Sports Event,1333.27,0.86,1.0,49.67,11,3,Hotspot 4
33,50,Female,Freelancer,Music,2024-02-12 21:37,2024-03-28 16:44,No,Route 18,Bus,72,Weekly,0.1,Moderate,POI 28,6.0,Optimal Route 2,422,No,Available,Smooth,Medium,Rainy,Sports Event,1071.54,0.72,3.0,8.08,3,2,Hotspot 19
34,47,Female,Freelancer,Silent,2024-01-04 04:01,2024-02-26 21:54,Yes,Route 12,Bus,193,Weekly,0.5,Heavy,POI 34,38.11,Optimal Route 8,194,Yes,Available,Moderate,Medium,Snowy,Sports Event,1386.6,0.75,2.9,12.1,6,3,Hotspot 3
35,44,Male,Driver,Conversation,2024-03-10 05:12,2024-01-04 16:22,No,Route 9,SUV,65,Daily,0.38,Light,POI 6,21.23,Optimal Route 5,147,Yes,Busy,Smooth,Medium,Snowy,None,1226.9,0.76,1.1,16.16,15,1,Hotspot 16
36,61,Female,Engineer,Silent,2024-03-23 06:53,2024-01-17 23:56,Yes,Route 7,Sedan,102,Occasionally,0.1,Heavy,POI 26,19.37,Optimal Route 4,428,Yes,Busy,Moderate,Medium,Rainy,Sports Event,1293.23,0.51,1.1,9.24,4,0,Hotspot 14
37,43,Female,Business Woman,Conversation,2024-01-03 13:06,2024-03-02 19:02,Yes,Route 11,Auto,41,Daily,0.08,Moderate,POI 22,41.15,Optimal Route 4,104,Yes,Busy,Moderate,Medium,Snowy,Sports Event,1172.08,0.6,1.1,13.88,13,0,Hotspot 1
38,33,Male,Doctor,Smoking,2024-03-25 00:26,2024-02-25 09:03,Yes,Route 11,SUV,22,Weekly,0.39,Moderate,POI 10,7.28,Optimal Route 5,105,No,Busy,Moderate,Low,Cloudy,Concert,1213.55,0.98,1.7,20.58,14,4,Hotspot 14
39,18,Female,Engineer,Non-Smoking,2024-02-27 04:39,2024-01-01 11:59,Yes,Route 10,Electric,145,Occasionally,0.25,Heavy,POI 24,5.35,Optimal Route 7,53,No,Busy,Moderate,Low,Cloudy,None,1445.9,0.74,4.8,21.79,15,4,Hotspot 19
40,58,Female,Engineer,Smoking,2024-01-03 16:10,2024-01-22 00:13,Yes,Route 3,SUV,19,Occasionally,0.01,Light,POI 38,12.0,Optimal Route 1,375,Yes,Busy,Smooth,Low,Rainy,None,1010.26,0.55,3.8,42.11,3,1,Hotspot 1
41,48,Male,Student,Smoking,2024-02-27 08:17,2024-02-11 10:29,No,Route 11,SUV,154,Daily,0.45,Light,POI 27,48.54,Optimal Route 2,42,Yes,Available,Congested,Low,Rainy,Sports Event,1326.55,0.72,1.4,44.99,15,2,Hotspot 7
42,20,Male,Business Woman,Conversation,2024-02-10 03:18,2024-01-09 15:03,No,Route 19,Electric,44,Occasionally,0.14,Light,POI 24,20.9,Optimal Route 8,300,Yes,Available,Moderate,Low,Snowy,Sports Event,1187.43,0.54,4.7,23.53,12,1,Hotspot 11
43,59,Female,Private Employee,Smoking,2024-02-14 21:53,2024-02-12 23:03,No,Route 16,Bus,87,Weekly,0.19,Moderate,POI 26,27.04,Optimal Route 7,434,Yes,Available,Congested,Medium,Snowy,Festival,1367.86,0.86,4.1,14.14,13,3,Hotspot 7
44,30,Female,Business Woman,Smoking,2024-01-15 05:22,2024-02-10 09:07,Yes,Route 18,Auto,48,Daily,0.49,Moderate,POI 20,17.82,Optimal Route 6,296,No,Busy,Smooth,Low,Sunny,Sports Event,1477.84,0.91,2.0,31.21,2,1,Hotspot 19
45,39,Male,Engineer,Silent,2024-01-04 11:36,2024-03-09 14:11,Yes,Route 13,Bus,37,Daily,0.26,Heavy,POI 17,1.36,Optimal Route 9,91,No,Available,Moderate,Medium,Rainy,None,1175.61,0.58,4.6,32.1,12,5,Hotspot 6
46,37,Female,Driver,Conversation,2024-01-18 01:16,2024-02-11 09:12,Yes,Route 10,Hatchback,167,Occasionally,0.49,Heavy,POI 28,17.74,Optimal Route 2,6,Yes,Busy,Congested,High,Rainy,None,1131.03,0.57,3.6,6.83,2,1,Hotspot 11
47,20,Male,Teacher,Music,2024-02-19 22:11,2024-01-22 09:17,No,Route 5,Auto,187,Daily,0.05,Light,POI 26,6.37,Optimal Route 2,190,Yes,Busy,Congested,High,Rainy,Sports Event,1105.92,0.89,3.2,13.39,8,3,Hotspot 5
48,31,Male,Vlogger,Non-Smoking,2024-01-14 22:52,2024-03-14 05:36,Yes,Route 13,SUV,143,Occasionally,0.07,Moderate,POI 26,8.9,Optimal Route 10,110,Yes,Available,Smooth,Low,Rainy,Sports Event,1182.3,0.57,1.6,23.13,3,5,Hotspot 15
49,53,Female,Business Man,Non-Smoking,2024-02-18 18:48,2024-02-23 11:02,No,Route 15,Hatchback,164,Occasionally,0.45,Moderate,POI 31,9.9,Optimal Route 6,280,No,Busy,Congested,High,Sunny,Concert,1462.41,0.57,2.2,12.6,10,4,Hotspot 10
50,50,Male,Engineer,Smoking,2024-01-15 00:59,2024-02-27 21:22,No,Route 1,Auto,109,Daily,0.01,Heavy,POI 50,11.26,Optimal Route 2,460,No,Busy,Smooth,Medium,Rainy,Concert,1037.47,0.86,3.3,29.36,5,0,Hotspot 17
51,29,Female,Business Man,Silent,2024-03-29 04:53,2024-01-08 00:51,No,Route 13,Sedan,159,Weekly,0.28,Heavy,POI 36,1.08,Optimal Route 6,72,Yes,Busy,Congested,Low,Snowy,Festival,1461.08,0.6,4.0,26.17,11,5,Hotspot 17
52,29,Male,Freelancer,Non-Smoking,2024-01-04 19:56,2024-01-09 14:58,Yes,Route 1,Sedan,47,Occasionally,0.46,Heavy,POI 35,47.68,Optimal Route 3,370,Yes,Available,Moderate,Low,Snowy,Festival,1101.94,0.53,3.9,41.12,12,5,Hotspot 13
53,62,Male,Student,Smoking,2024-03-17 05:05,2024-01-28 18:22,Yes,Route 10,Motorbike,73,Weekly,0.19,Light,POI 18,45.17,Optimal Route 3,282,Yes,Busy,Congested,Medium,Snowy,Concert,1238.42,0.55,1.3,44.12,7,5,Hotspot 15
54,63,Male,Vlogger,Non-Smoking,2024-01-23 08:54,2024-02-02 20:09,No,Route 14,Sedan,158,Weekly,0.33,Moderate,POI 31,36.68,Optimal Route 6,123,No,Available,Smooth,Medium,Cloudy,Sports Event,1095.89,0.69,2.5,35.54,4,5,Hotspot 7
55,38,Male,Business Woman,Silent,2024-03-14 23:05,2024-03-13 12:22,No,Route 3,SUV,78,Weekly,0.31,Light,POI 48,23.41,Optimal Route 6,61,Yes,Busy,Smooth,Low,Snowy,Concert,1143.14,0.82,1.4,6.05,12,5,Hotspot 14
56,44,Male,Student,Non-Smoking,2024-02-25 14:21,2024-01-31 06:00,No,Route 3,Electric,42,Occasionally,0.04,Moderate,POI 7,46.71,Optimal Route 3,332,No,Available,Moderate,High,Rainy,Sports Event,1272.28,0.69,1.6,48.69,2,1,Hotspot 9
57,27,Female,Private Employee,Silent,2024-03-31 07:30,2024-03-06 21:51,Yes,Route 14,Auto,179,Weekly,0.35,Light,POI 12,48.65,Optimal Route 1,96,No,Available,Congested,High,Sunny,None,1239.34,0.74,3.4,26.8,2,2,Hotspot 5
58,18,Male,Student,Conversation,2024-03-07 04:15,2024-01-03 08:19,No,Route 14,Hatchback,93,Daily,0.18,Light,POI 44,17.7,Optimal Route 2,486,No,Busy,Smooth,Medium,Cloudy,None,1213.35,0.78,3.8,40.82,11,3,Hotspot 16
59,59,Male,Student,Smoking,2024-02-21 18:20,2024-03-25 03:29,Yes,Route 19,Auto,187,Occasionally,0.05,Light,POI 35,18.52,Optimal Route 8,164,Yes,Available,Moderate,Low,Cloudy,Sports Event,1439.21,0.74,3.5,25.24,13,0,Hotspot 17
60,53,Male,Business Woman,Silent,2024-02-24 09:27,2024-02-08 07:51,Yes,Route 17,SUV,199,Weekly,0.28,Light,POI 40,45.16,Optimal Route 6,226,No,Available,Congested,Low,Rainy,Sports Event,1019.54,0.92,4.4,18.43,14,2,Hotspot 18
61,48,Male,Vlogger,Smoking,2024-01-09 23:30,2024-03-29 13:17,No,Route 9,Sedan,108,Weekly,0.17,Moderate,POI 16,40.47,Optimal Route 4,174,Yes,Available,Congested,Low,Cloudy,Festival,1085.35,0.59,1.3,13.48,7,0,Hotspot 15
62,39,Female,Business Man,Music,2024-03-12 21:21,2024-01-21 09:37,No,Route 3,Electric,69,Daily,0.42,Light,POI 37,34.19,Optimal Route 9,127,No,Busy,Moderate,Low,Snowy,Festival,1445.12,0.66,3.0,24.12,6,3,Hotspot 3
63,63,Male,Private Employee,Music,2024-02-16 05:14,2024-03-15 16:06,No,Route 3,Sedan,37,Daily,0.39,Light,POI 30,2.85,Optimal Route 9,90,Yes,Available,Congested,High,Cloudy,Concert,1057.63,0.59,3.9,13.11,3,4,Hotspot 15
64,47,Female,Teacher,Conversation,2024-02-08 03:31,2024-01-15 14:51,Yes,Route 18,SUV,88,Occasionally,0.49,Moderate,POI 50,47.08,Optimal Route 6,196,No,Available,Smooth,Medium,Sunny,Sports Event,1427.51,0.99,1.7,47.04,15,4,Hotspot 8
65,64,Female,Business Woman,Smoking,2024-02-03 12:01,2024-02-03 22:27,Yes,Route 9,Hatchback,53,Occasionally,0.37,Heavy,POI 37,5.33,Optimal Route 8,387,Yes,Available,Moderate,Medium,Snowy,Concert,1470.76,0.63,2.9,29.7,6,5,Hotspot 19
66,18,Male,Freelancer,Smoking,2024-02-07 03:08,2024-02-28 23:36,No,Route 13,SUV,93,Daily,0.19,Heavy,POI 38,2.39,Optimal Route 9,451,No,Available,Congested,Low,Sunny,Festival,1164.2,0.85,2.2,42.77,6,1,Hotspot 1
67,62,Male,Freelancer,Music,2024-01-21 03:53,2024-02-20 22:29,Yes,Route 11,Auto,19,Daily,0.18,Moderate,POI 35,24.31,Optimal Route 5,149,No,Available,Moderate,High,Sunny,Festival,1037.22,0.58,1.8,40.43,7,0,Hotspot 20
68,24,Female,Freelancer,Music,2024-02-19 13:37,2024-03-27 11:51,Yes,Route 6,Electric,52,Occasionally,0.33,Moderate,POI 37,36.41,Optimal Route 6,457,No,Busy,Smooth,High,Sunny,Sports Event,1200.83,0.79,2.6,26.69,13,0,Hotspot 2
69,64,Female,Private Employee,Smoking,2024-01-19 21:48,2024-02-17 08:48,Yes,Route 13,Hatchback,196,Occasionally,0.03,Heavy,POI 47,16.32,Optimal Route 5,120,Yes,Available,Congested,Medium,Rainy,Festival,1362.55,0.58,1.5,42.26,14,0,Hotspot 20
70,61,Female,Business Woman,Non-Smoking,2024-03-09 18:54,2024-01-16 15:01,Yes,Route 6,Electric,130,Occasionally,0.45,Light,POI 12,12.72,Optimal Route 3,86,No,Available,Smooth,High,Rainy,Concert,1431.21,0.79,3.3,19.86,5,2,Hotspot 13
71,49,Female,Teacher,Conversation,2024-02-11 16:12,2024-03-02 06:17,Yes,Route 16,Bus,142,Occasionally,0.32,Light,POI 16,27.24,Optimal Route 6,400,No,Busy,Moderate,Low,Snowy,Sports Event,1394.13,0.73,4.2,41.28,8,3,Hotspot 3
72,53,Male,Student,Music,2024-01-25 09:24,2024-01-12 23:01,No,Route 9,Auto,75,Daily,0.3,Moderate,POI 5,6.96,Optimal Route 2,73,Yes,Available,Moderate,Low,Rainy,None,1139.79,0.81,4.0,31.96,8,3,Hotspot 8
73,63,Female,Teacher,Conversation,2024-02-06 13:27,2024-03-30 00:59,Yes,Route 12,Motorbike,120,Occasionally,0.03,Moderate,POI 36,21.91,Optimal Route 6,331,No,Busy,Congested,High,Rainy,Festival,1335.89,0.77,1.3,45.01,2,5,Hotspot 16
74,55,Male,Teacher,Smoking,2024-03-04 19:26,2024-02-17 16:33,No,Route 1,Bus,147,Weekly,0.26,Heavy,POI 5,23.98,Optimal Route 4,41,No,Busy,Moderate,Medium,Sunny,None,1266.1,0.88,1.5,26.51,4,3,Hotspot 8
75,34,Female,Doctor,Non-Smoking,2024-01-09 06:56,2024-02-19 04:20,No,Route 4,Electric,198,Daily,0.28,Heavy,POI 27,41.89,Optimal Route 3,74,Yes,Busy,Moderate,High,Sunny,None,1251.25,0.74,5.0,33.91,3,3,Hotspot 1
76,34,Female,Vlogger,Music,2024-01-12 16:47,2024-01-11 23:43,Yes,Route 4,SUV,98,Daily,0.08,Heavy,POI 20,15.91,Optimal Route 2,312,No,Available,Moderate,Medium,Rainy,Concert,1114.17,0.65,2.0,26.77,5,4,Hotspot 10
77,35,Male,Private Employee,Non-Smoking,2024-01-08 02:50,2024-01-08 05:03,Yes,Route 18,SUV,44,Occasionally,0.15,Moderate,POI 5,16.51,Optimal Route 1,285,No,Busy,Congested,Low,Sunny,Festival,1123.19,0.92,2.5,41.51,2,4,Hotspot 11
78,39,Male,Teacher,Silent,2024-01-31 12:55,2024-02-04 09:38,No,Route 16,Auto,69,Weekly,0.2,Moderate,POI 19,25.74,Optimal Route 1,272,No,Busy,Moderate,Medium,Cloudy,Festival,1314.04,0.66,2.2,31.83,3,1,Hotspot 1
79,50,Female,Doctor,Non-Smoking,2024-03-01 02:47,2024-02-06 01:50,Yes,Route 20,SUV,101,Weekly,0.0,Heavy,POI 17,19.41,Optimal Route 5,376,No,Busy,Congested,Low,Sunny,Festival,1390.64,0.92,4.8,19.52,8,1,Hotspot 15
80,41,Male,Business Man,Non-Smoking,2024-02-01 07:34,2024-02-21 06:23,Yes,Route 11,Hatchback,58,Weekly,0.3,Light,POI 4,1.38,Optimal Route 7,389,No,Busy,Smooth,High,Cloudy,Concert,1323.48,0.54,2.9,23.61,4,5,Hotspot 4
81,48,Female,Business Man,Silent,2024-02-16 23:15,2024-03-31 18:21,No,Route 1,Hatchback,96,Daily,0.09,Light,POI 46,21.71,Optimal Route 7,226,Yes,Busy,Moderate,Low,Snowy,None,1417.72,0.95,1.4,25.61,4,5,Hotspot 5
82,39,Female,Driver,Music,2024-03-27 13:04,2024-02-22 11:01,No,Route 14,Hatchback,116,Weekly,0.2,Heavy,POI 29,41.1,Optimal Route 10,213,Yes,Available,Moderate,High,Sunny,Festival,1350.5,0.75,5.0,39.7,12,4,Hotspot 7
83,38,Male,Student,Non-Smoking,2024-02-25 12:57,2024-01-20 07:55,Yes,Route 14,Electric,96,Daily,0.35,Light,POI 31,19.28,Optimal Route 4,56,No,Available,Moderate,Low,Sunny,Concert,1465.32,0.8,4.3,48.95,3,0,Hotspot 20
84,62,Male,Engineer,Non-Smoking,2024-03-23 07:26,2024-01-30 12:07,Yes,Route 11,Motorbike,100,Occasionally,0.07,Light,POI 11,5.0,Optimal Route 8,31,No,Busy,Smooth,Low,Snowy,None,1250.16,0.78,2.3,16.07,15,4,Hotspot 18
85,64,Male,Business Woman,Non-Smoking,2024-02-18 19:57,2024-01-16 19:07,No,Route 11,Hatchback,54,Weekly,0.48,Moderate,POI 44,17.29,Optimal Route 5,63,No,Busy,Congested,Low,Rainy,Sports Event,1139.25,0.5,2.3,35.85,14,4,Hotspot 2
86,52,Male,Engineer,Music,2024-01-15 03:12,2024-02-11 15:52,Yes,Route 17,Auto,57,Occasionally,0.47,Light,POI 34,28.76,Optimal Route 1,322,No,Available,Congested,Medium,Rainy,Festival,1249.8,0.67,4.9,21.87,5,2,Hotspot 1
87,47,Male,Freelancer,Non-Smoking,2024-02-25 05:26,2024-01-27 06:23,No,Route 18,Sedan,172,Occasionally,0.01,Moderate,POI 20,31.99,Optimal Route 4,116,Yes,Busy,Congested,Low,Snowy,Concert,1056.42,0.76,1.7,31.61,15,3,Hotspot 8
88,63,Male,Private Employee,Conversation,2024-03-01 12:30,2024-03-20 12:30,No,Route 9,Hatchback,35,Daily,0.38,Light,POI 39,49.96,Optimal Route 6,420,Yes,Busy,Congested,High,Sunny,Sports Event,1130.16,0.63,4.0,24.35,15,3,Hotspot 5
89,24,Female,Business Man,Music,2024-01-29 22:33,2024-01-17 01:01,Yes,Route 4,SUV,61,Daily,0.16,Moderate,POI 5,46.42,Optimal Route 10,218,Yes,Busy,Smooth,Medium,Rainy,Festival,1466.14,0.72,3.4,48.33,10,4,Hotspot 15
90,41,Female,Engineer,Music,2024-01-16 15:15,2024-02-27 10:30,No,Route 9,Auto,184,Daily,0.2,Heavy,POI 37,25.5,Optimal Route 4,230,No,Available,Smooth,Medium,Sunny,Concert,1008.59,0.54,2.6,13.54,11,0,Hotspot 5
91,47,Female,Engineer,Music,2024-03-08 11:48,2024-01-12 01:03,Yes,Route 5,SUV,113,Weekly,0.45,Light,POI 36,32.45,Optimal Route 9,39,Yes,Busy,Congested,Medium,Rainy,None,1440.39,0.78,4.4,25.03,7,3,Hotspot 18
92,36,Female,Freelancer,Smoking,2024-03-28 13:28,2024-01-28 09:10,Yes,Route 7,Motorbike,181,Daily,0.31,Heavy,POI 13,40.01,Optimal Route 1,101,Yes,Available,Congested,Low,Cloudy,Festival,1104.64,0.96,2.5,30.07,2,0,Hotspot 19
93,37,Female,Vlogger,Silent,2024-03-31 23:16,2024-03-26 04:50,No,Route 17,Motorbike,29,Daily,0.33,Light,POI 37,7.64,Optimal Route 8,244,Yes,Busy,Moderate,Medium,Sunny,Festival,1089.56,0.78,4.1,8.72,11,4,Hotspot 16
94,41,Male,Student,Silent,2024-03-27 10:42,2024-01-28 03:23,Yes,Route 19,Hatchback,194,Weekly,0.47,Light,POI 50,30.47,Optimal Route 4,316,No,Available,Smooth,Medium,Sunny,None,1272.57,0.59,4.9,11.01,10,5,Hotspot 7
95,61,Female,Driver,Silent,2024-02-23 17:23,2024-03-01 23:59,No,Route 15,Motorbike,131,Weekly,0.03,Moderate,POI 25,3.42,Optimal Route 5,91,No,Busy,Smooth,High,Rainy,Concert,1055.65,0.68,4.6,27.45,14,5,Hotspot 1
96,53,Female,Student,Conversation,2024-02-12 19:16,2024-02-15 01:41,Yes,Route 15,Electric,193,Occasionally,0.49,Heavy,POI 30,23.03,Optimal Route 5,406,No,Available,Moderate,Medium,Cloudy,Concert,1218.29,0.6,3.2,9.34,5,2,Hotspot 7
